2025-11-21 13:54:33,419:INFO:Epoch 1, client_count 50, Algo: FedRP: train_accuracy=9.3616, val_accuracy=10.2600, train_loss=0.0365, val_loss=0.1439
2025-11-21 13:55:05,368:INFO:Epoch 2, client_count 50, Algo: FedRP: train_accuracy=10.4400, val_accuracy=10.2800, train_loss=0.0365, val_loss=0.1439
2025-11-21 13:55:37,094:INFO:Epoch 3, client_count 50, Algo: FedRP: train_accuracy=10.4417, val_accuracy=10.2800, train_loss=0.0365, val_loss=0.1439
2025-11-21 13:56:08,179:INFO:Epoch 4, client_count 50, Algo: FedRP: train_accuracy=10.4417, val_accuracy=10.2800, train_loss=0.0365, val_loss=0.1439
2025-11-21 13:56:39,247:INFO:Epoch 5, client_count 50, Algo: FedRP: train_accuracy=10.4417, val_accuracy=10.2800, train_loss=0.0365, val_loss=0.1439
2025-11-21 13:57:11,163:INFO:Epoch 6, client_count 50, Algo: FedRP: train_accuracy=10.4417, val_accuracy=10.2800, train_loss=0.0365, val_loss=0.1440
2025-11-21 13:57:42,186:INFO:Epoch 7, client_count 50, Algo: FedRP: train_accuracy=10.4417, val_accuracy=10.2800, train_loss=0.0365, val_loss=0.1439
2025-11-21 13:58:13,166:INFO:Epoch 8, client_count 50, Algo: FedRP: train_accuracy=10.4417, val_accuracy=10.2800, train_loss=0.0365, val_loss=0.1439
2025-11-21 13:58:44,195:INFO:Epoch 9, client_count 50, Algo: FedRP: train_accuracy=10.4417, val_accuracy=10.2800, train_loss=0.0365, val_loss=0.1439
2025-11-21 13:59:15,004:INFO:Epoch 10, client_count 50, Algo: FedRP: train_accuracy=10.4417, val_accuracy=10.2800, train_loss=0.0365, val_loss=0.1439
2025-11-21 13:59:45,713:INFO:Epoch 11, client_count 50, Algo: FedRP: train_accuracy=10.4417, val_accuracy=10.2800, train_loss=0.0365, val_loss=0.1439
2025-11-21 14:00:16,326:INFO:Epoch 12, client_count 50, Algo: FedRP: train_accuracy=10.4417, val_accuracy=10.2800, train_loss=0.0365, val_loss=0.1439
2025-11-21 14:00:47,086:INFO:Epoch 13, client_count 50, Algo: FedRP: train_accuracy=10.4417, val_accuracy=10.2800, train_loss=0.0365, val_loss=0.1439
2025-11-21 14:01:17,985:INFO:Epoch 14, client_count 50, Algo: FedRP: train_accuracy=10.4417, val_accuracy=10.2800, train_loss=0.0365, val_loss=0.1438
2025-11-21 14:01:48,976:INFO:Epoch 15, client_count 50, Algo: FedRP: train_accuracy=10.4417, val_accuracy=10.2800, train_loss=0.0364, val_loss=0.1439
2025-11-21 14:02:19,763:INFO:Epoch 16, client_count 50, Algo: FedRP: train_accuracy=10.4417, val_accuracy=10.2800, train_loss=0.0365, val_loss=0.1439
2025-11-21 14:02:50,815:INFO:Epoch 17, client_count 50, Algo: FedRP: train_accuracy=10.4417, val_accuracy=10.2900, train_loss=0.0365, val_loss=0.1440
2025-11-21 14:03:22,049:INFO:Epoch 18, client_count 50, Algo: FedRP: train_accuracy=10.4400, val_accuracy=10.2800, train_loss=0.0365, val_loss=0.1440
2025-11-21 14:03:52,831:INFO:Epoch 19, client_count 50, Algo: FedRP: train_accuracy=10.4417, val_accuracy=10.2800, train_loss=0.0365, val_loss=0.1441
2025-11-21 14:04:24,295:INFO:Epoch 20, client_count 50, Algo: FedRP: train_accuracy=10.4383, val_accuracy=10.2800, train_loss=0.0365, val_loss=0.1441
2025-11-21 14:04:55,747:INFO:Epoch 21, client_count 50, Algo: FedRP: train_accuracy=9.4102, val_accuracy=6.7800, train_loss=0.0365, val_loss=0.1440
2025-11-21 14:05:26,778:INFO:Epoch 22, client_count 50, Algo: FedRP: train_accuracy=4.4851, val_accuracy=4.0400, train_loss=0.0365, val_loss=0.1442
2025-11-21 14:05:58,281:INFO:Epoch 23, client_count 50, Algo: FedRP: train_accuracy=5.4769, val_accuracy=7.6700, train_loss=0.0365, val_loss=0.1440
2025-11-21 14:06:29,207:INFO:Epoch 24, client_count 50, Algo: FedRP: train_accuracy=9.8218, val_accuracy=11.4000, train_loss=0.0365, val_loss=0.1442
2025-11-21 14:07:00,731:INFO:Epoch 25, client_count 50, Algo: FedRP: train_accuracy=10.9316, val_accuracy=10.5900, train_loss=0.0365, val_loss=0.1444
2025-11-21 14:07:32,189:INFO:Epoch 26, client_count 50, Algo: FedRP: train_accuracy=10.4933, val_accuracy=10.2800, train_loss=0.0366, val_loss=0.1444
2025-11-21 14:08:04,358:INFO:Epoch 27, client_count 50, Algo: FedRP: train_accuracy=10.4433, val_accuracy=10.2700, train_loss=0.0366, val_loss=0.1445
2025-11-21 14:08:36,043:INFO:Epoch 28, client_count 50, Algo: FedRP: train_accuracy=10.4400, val_accuracy=10.2800, train_loss=0.0366, val_loss=0.1443
2025-11-21 14:09:08,148:INFO:Epoch 29, client_count 50, Algo: FedRP: train_accuracy=10.4516, val_accuracy=10.1900, train_loss=0.0365, val_loss=0.1440
2025-11-21 14:09:39,693:INFO:Epoch 30, client_count 50, Algo: FedRP: train_accuracy=10.6384, val_accuracy=10.8700, train_loss=0.0365, val_loss=0.1443
