2025-11-24 22:06:52,108:INFO:Epoch 1, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=3.5220, test_accuracy=2.2900, train_loss=0.0708, test_loss=0.2855
2025-11-24 22:07:33,687:INFO:Epoch 2, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=6.3400, test_accuracy=9.7100, train_loss=0.0652, test_loss=0.2438
2025-11-24 22:08:15,826:INFO:Epoch 3, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=9.0620, test_accuracy=12.9600, train_loss=0.0615, test_loss=0.2296
2025-11-24 22:08:57,460:INFO:Epoch 4, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=11.9120, test_accuracy=17.0300, train_loss=0.0585, test_loss=0.2153
2025-11-24 22:09:37,619:INFO:Epoch 5, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=14.9640, test_accuracy=20.3700, train_loss=0.0556, test_loss=0.2062
2025-11-24 22:10:24,847:INFO:Epoch 6, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=17.3440, test_accuracy=21.4800, train_loss=0.0533, test_loss=0.2000
2025-11-24 22:11:21,709:INFO:Epoch 7, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=19.8520, test_accuracy=22.5800, train_loss=0.0512, test_loss=0.1935
2025-11-24 22:12:10,958:INFO:Epoch 8, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=22.1040, test_accuracy=26.1400, train_loss=0.0492, test_loss=0.1845
2025-11-24 22:12:49,343:INFO:Epoch 9, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=24.2980, test_accuracy=27.9400, train_loss=0.0474, test_loss=0.1778
2025-11-24 22:13:27,527:INFO:Epoch 10, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=26.6240, test_accuracy=28.7700, train_loss=0.0456, test_loss=0.1756
2025-11-24 22:14:04,040:INFO:Epoch 11, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=28.7280, test_accuracy=30.3200, train_loss=0.0437, test_loss=0.1721
2025-11-24 22:14:40,447:INFO:Epoch 12, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=30.8320, test_accuracy=32.1000, train_loss=0.0421, test_loss=0.1647
2025-11-24 22:15:16,980:INFO:Epoch 13, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=32.8480, test_accuracy=34.8900, train_loss=0.0405, test_loss=0.1570
2025-11-24 22:15:54,003:INFO:Epoch 14, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=35.4660, test_accuracy=36.2500, train_loss=0.0387, test_loss=0.1545
2025-11-24 22:16:30,527:INFO:Epoch 15, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=37.5080, test_accuracy=38.0500, train_loss=0.0373, test_loss=0.1487
2025-11-24 22:17:07,244:INFO:Epoch 16, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=39.1880, test_accuracy=36.5500, train_loss=0.0357, test_loss=0.1525
2025-11-24 22:17:44,174:INFO:Epoch 17, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=41.4880, test_accuracy=37.0700, train_loss=0.0343, test_loss=0.1544
2025-11-24 22:18:21,762:INFO:Epoch 18, client_count 10, Algo: FedAvg, data_type: IID: train_accuracy=43.8000, test_accuracy=37.2400, train_loss=0.0330, test_loss=0.1500
